1778625935.757615 server started (66537): version 3.6a, socket /tmp/tmux-1001/default, protocol 8
1778625935.757699 on Linux 7.0.5-1-aarch64-ARCH #1 SMP PREEMPT_DYNAMIC Fri May  8 09:46:42 UTC 2026
1778625935.757708 using libevent 2.1.12-stable poll
1778625935.757714 using ncurses 6.5 20240427
1778625935.795032 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1778625935.795049 cmd_parse_build_commands 0:0: new-window
1778625935.795055 cmd_parse_build_commands 0:1: -a
1778625935.795065 args_parse_flags: next -a
1778625935.795070 args_parse_flags: -a
1778625935.795075 args_parse: flags end at 2 of 2
1778625935.795083 cmd_parse_build_commands: new-window -a
1778625935.795090 cmd_parse_build_commands 0:0: new-window
1778625935.795100 args_parse: flags end at 1 of 1
1778625935.795107 cmd_parse_build_commands: new-window
1778625935.795114 args_parse_flags: next -t=
1778625935.795119 args_parse_flag_argument: -t = =
1778625935.795124 args_parse_flags: next -xW
1778625935.795129 args_parse_flag_argument: -x = W
1778625935.795134 args_parse_flags: next -yW
1778625935.795140 args_parse_flag_argument: -y = W
1778625935.795145 args_parse_flags: next -T
1778625935.795151 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1778625935.795157 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1778625935.795163 args_parse: flags end at 6 of 35
1778625935.795169 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1778625935.795175 args_parse: 7 = l (type STRING)
1778625935.795185 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1778625935.795192 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1778625935.795198 args_parse: 10 = r (type STRING)
1778625935.795208 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1778625935.795215 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1778625935.795221 args_parse: 13 = s (type STRING)
1778625935.795228 args_parse: 14 = swap-window (type COMMANDS)
1778625935.795235 args_parse: 15 =  (type STRING)
1778625935.795241 args_parse: 16 = Kill (type STRING)
1778625935.795246 args_parse: 17 = X (type STRING)
1778625935.795254 args_parse: 18 = kill-window (type COMMANDS)
1778625935.795260 args_parse: 19 = Respawn (type STRING)
1778625935.795266 args_parse: 20 = R (type STRING)
1778625935.795274 args_parse: 21 = respawn-window -k (type COMMANDS)
1778625935.795281 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1778625935.795287 args_parse: 23 = m (type STRING)
1778625935.795295 args_parse: 24 = select-pane -m (type COMMANDS)
1778625935.795302 args_parse: 25 = Rename (type STRING)
1778625935.795307 args_parse: 26 = n (type STRING)
1778625935.795325 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1778625935.795332 args_parse: 28 =  (type STRING)
1778625935.795338 args_parse: 29 = New After (type STRING)
1778625935.795344 args_parse: 30 = w (type STRING)
1778625935.795352 args_parse: 31 = new-window -a (type COMMANDS)
1778625935.795359 args_parse: 32 = New At End (type STRING)
1778625935.795365 args_parse: 33 = W (type STRING)
1778625935.795373 args_parse: 34 = new-window (type COMMANDS)
1778625935.795464 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1778625935.795483 args_parse_flags: next -n
1778625935.795489 args_parse_flags: -n
1778625935.795495 args_parse_flags: next MouseDown3Status
1778625935.795500 args_parse: flags end at 2 of 4
1778625935.795506 args_parse: 2 = MouseDown3Status (type STRING)
1778625935.795598 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1778625935.795698 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1778625935.795720 cmdq_get_command: [bind-key/0xaaab05249330] group 1042
1778625935.795727 cmdq_append <global>: [bind-key/0xaaab05249330]
1778625935.795734 yylex_token: end at WS
1778625935.795738 yylex_token: bind
1778625935.795744 yylex_token: end at WS
1778625935.795748 yylex_token: -n
1778625935.795754 yylex_token: end at WS
1778625935.795760 yylex_token: M-MouseDown3Status
1778625935.795765 yylex_token: end at WS
1778625935.795770 yylex_token: display-menu
1778625935.795775 yylex_token: end at WS
1778625935.795780 yylex_token: -t=
1778625935.795785 yylex_token: end at WS
1778625935.795789 yylex_token: -xW
1778625935.795794 yylex_token: end at WS
1778625935.795798 yylex_token: -yW
1778625935.795803 yylex_token: end at WS
1778625935.795808 yylex_token: -T
1778625935.795817 yylex_token: end at WS
1778625935.795823 yylex_token: #[align=centre]#{window_index}:#{window_name}
1778625935.795831 yylex_token: end at WS
1778625935.795837 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1778625935.795842 yylex_token: end at WS
1778625935.795846 yylex_token: l
1778625935.795852 yylex_token: end at WS
1778625935.795857 yylex_token: swap-window
1778625935.795863 yylex_token: end at }
1778625935.795867 yylex_token: -t:-1
1778625935.795887 yylex_token: end at WS
1778625935.795900 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1778625935.795906 yylex_token: end at WS
1778625935.795910 yylex_token: r
1778625935.795916 yylex_token: end at WS
1778625935.795921 yylex_token: swap-window
1778625935.795926 yylex_token: end at }
1778625935.795931 yylex_token: -t:+1
1778625935.795939 yylex_token: end at WS
1778625935.795944 yylex_token: #{?pane_marked_set,,-}Swap Marked
1778625935.795949 yylex_token: end at WS
1778625935.795954 yylex_token: s
1778625935.795959 yylex_token: end at }
1778625935.795964 yylex_token: swap-window
1778625935.795970 yylex_token: end at WS
1778625935.795974 yylex_token: 
1778625935.795980 yylex_token: end at WS
1778625935.795984 yylex_token: Kill
1778625935.795989 yylex_token: end at WS
1778625935.795994 yylex_token: X
1778625935.796000 yylex_token: end at }
1778625935.796004 yylex_token: kill-window
1778625935.796010 yylex_token: end at WS
1778625935.796015 yylex_token: Respawn
1778625935.796020 yylex_token: end at WS
1778625935.796024 yylex_token: R
1778625935.796031 yylex_token: end at WS
1778625935.796035 yylex_token: respawn-window
1778625935.796040 yylex_token: end at }
1778625935.796045 yylex_token: -k
1778625935.796052 yylex_token: end at WS
1778625935.796058 yylex_token: #{?pane_marked,Unmark,Mark}
1778625935.796063 yylex_token: end at WS
1778625935.796067 yylex_token: m
1778625935.796085 yylex_token: end at WS
1778625935.796091 yylex_token: select-pane
1778625935.796096 yylex_token: end at }
1778625935.796100 yylex_token: -m
1778625935.796106 yylex_token: end at WS
1778625935.796111 yylex_token: Rename
1778625935.796116 yylex_token: end at WS
1778625935.796121 yylex_token: n
1778625935.796128 yylex_token: end at WS
1778625935.796133 yylex_token: command-prompt
1778625935.796138 yylex_token: end at WS
1778625935.796142 yylex_token: -FI
1778625935.796148 yylex_token: end at WS
1778625935.796152 yylex_token: #W
1778625935.796158 yylex_token: end at WS
1778625935.796163 yylex_token: rename-window
1778625935.796168 yylex_token: end at WS
1778625935.796173 yylex_token: -t
1778625935.796179 yylex_token: end at WS
1778625935.796184 yylex_token: #{window_id}
1778625935.796189 yylex_token: end at WS
1778625935.796193 yylex_token: --
1778625935.796198 yylex_token: end at }
1778625935.796203 yylex_token: %%
1778625935.796209 yylex_token: end at WS
1778625935.796213 yylex_token: 
1778625935.796219 yylex_token: end at WS
1778625935.796224 yylex_token: New After
1778625935.796229 yylex_token: end at WS
1778625935.796234 yylex_token: w
1778625935.796240 yylex_token: end at WS
1778625935.796244 yylex_token: new-window
1778625935.796249 yylex_token: end at }
1778625935.796254 yylex_token: -a
1778625935.796261 yylex_token: end at WS
1778625935.796265 yylex_token: New At End
1778625935.796270 yylex_token: end at WS
1778625935.796275 yylex_token: W
1778625935.796281 yylex_token: end at }
1778625935.796286 yylex_token: new-window
1778625935.796294 cmd_parse_build_commands 0:0: bind
1778625935.796299 cmd_parse_build_commands 0:1: -n
1778625935.796305 cmd_parse_build_commands 0:2: M-MouseDown3Status
1778625935.796311 cmd_parse_build_commands 0:3 0:0: display-menu
1778625935.796316 cmd_parse_build_commands 0:3 0:1: -t=
1778625935.796321 cmd_parse_build_commands 0:3 0:2: -xW
1778625935.796326 cmd_parse_build_commands 0:3 0:3: -yW
1778625935.796331 cmd_parse_build_commands 0:3 0:4: -T
1778625935.796337 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1778625935.796344 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1778625935.796349 cmd_parse_build_commands 0:3 0:7: l
1778625935.796355 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1778625935.796360 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1778625935.796366 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1778625935.796371 cmd_parse_build_commands 0:3 0:10: r
1778625935.796377 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1778625935.796382 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1778625935.796388 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1778625935.796393 cmd_parse_build_commands 0:3 0:13: s
1778625935.796399 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1778625935.796404 cmd_parse_build_commands 0:3 0:15: 
1778625935.796409 cmd_parse_build_commands 0:3 0:16: Kill
1778625935.796414 cmd_parse_build_commands 0:3 0:17: X
1778625935.796420 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1778625935.796426 cmd_parse_build_commands 0:3 0:19: Respawn
1778625935.796431 cmd_parse_build_commands 0:3 0:20: R
1778625935.796437 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1778625935.796442 cmd_parse_build_commands 0:3 0:21 0:1: -k
1778625935.796448 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1778625935.796453 cmd_parse_build_commands 0:3 0:23: m
1778625935.796459 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1778625935.796464 cmd_parse_build_commands 0:3 0:24 0:1: -m
1778625935.796469 cmd_parse_build_commands 0:3 0:25: Rename
1778625935.796474 cmd_parse_build_commands 0:3 0:26: n
1778625935.796480 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1778625935.796486 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1778625935.796491 cmd_parse_build_commands 0:3 0:27 0:2: #W
1778625935.796497 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1778625935.796502 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1778625935.796519 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1778625935.796526 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1778625935.796531 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1778625935.796536 cmd_parse_build_commands 0:3 0:28: 
1778625935.796542 cmd_parse_build_commands 0:3 0:29: New After
1778625935.796547 cmd_parse_build_commands 0:3 0:30: w
1778625935.796553 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1778625935.796558 cmd_parse_build_commands 0:3 0:31 0:1: -a
1778625935.796563 cmd_parse_build_commands 0:3 0:32: New At End
1778625935.796569 cmd_parse_build_commands 0:3 0:33: W
1778625935.796574 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1778625935.796582 cmd_parse_build_commands 0:0: display-menu
1778625935.796588 cmd_parse_build_commands 0:1: -t=
1778625935.796593 cmd_parse_build_commands 0:2: -xW
1778625935.796598 cmd_parse_build_commands 0:3: -yW
1778625935.796603 cmd_parse_build_commands 0:4: -T
1778625935.796609 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1778625935.796615 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1778625935.796619 cmd_parse_build_commands 0:7: l
1778625935.796625 cmd_parse_build_commands 0:8 0:0: swap-window
1778625935.796630 cmd_parse_build_commands 0:8 0:1: -t:-1
1778625935.796637 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1778625935.796642 cmd_parse_build_commands 0:10: r
1778625935.796648 cmd_parse_build_commands 0:11 0:0: swap-window
1778625935.796653 cmd_parse_build_commands 0:11 0:1: -t:+1
1778625935.796659 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1778625935.796664 cmd_parse_build_commands 0:13: s
1778625935.796670 cmd_parse_build_commands 0:14 0:0: swap-window
1778625935.796675 cmd_parse_build_commands 0:15: 
1778625935.796680 cmd_parse_build_commands 0:16: Kill
1778625935.796685 cmd_parse_build_commands 0:17: X
1778625935.796691 cmd_parse_build_commands 0:18 0:0: kill-window
1778625935.796696 cmd_parse_build_commands 0:19: Respawn
1778625935.796701 cmd_parse_build_commands 0:20: R
1778625935.796707 cmd_parse_build_commands 0:21 0:0: respawn-window
1778625935.796712 cmd_parse_build_commands 0:21 0:1: -k
1778625935.796718 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1778625935.796723 cmd_parse_build_commands 0:23: m
1778625935.796729 cmd_parse_build_commands 0:24 0:0: select-pane
1778625935.796734 cmd_parse_build_commands 0:24 0:1: -m
1778625935.796739 cmd_parse_build_commands 0:25: Rename
1778625935.796744 cmd_parse_build_commands 0:26: n
1778625935.796750 cmd_parse_build_commands 0:27 0:0: command-prompt
1778625935.796756 cmd_parse_build_commands 0:27 0:1: -FI
1778625935.796761 cmd_parse_build_commands 0:27 0:2: #W
1778625935.796767 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1778625935.796772 cmd_parse_build_commands 0:27 0:3 0:1: -t
1778625935.796777 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1778625935.796783 cmd_parse_build_commands 0:27 0:3 0:3: --
1778625935.796788 cmd_parse_build_commands 0:27 0:3 0:4: %%
1778625935.796793 cmd_parse_build_commands 0:28: 
1778625935.796798 cmd_parse_build_commands 0:29: New After
1778625935.796803 cmd_parse_build_commands 0:30: w
1778625935.796809 cmd_parse_build_commands 0:31 0:0: new-window
1778625935.796815 cmd_parse_build_commands 0:31 0:1: -a
1778625935.796820 cmd_parse_build_commands 0:32: New At End
1778625935.796825 cmd_parse_build_commands 0:33: W
1778625935.796830 cmd_parse_build_commands 0:34 0:0: new-window
1778625935.796840 cmd_parse_build_commands 0:0: swap-window
1778625935.796845 cmd_parse_build_commands 0:1: -t:-1
1778625935.796858 args_parse_flags: next -t:-1
1778625935.796864 args_parse_flag_argument: -t = :-1
1778625935.796869 args_parse: flags end at 2 of 2
1778625935.796894 cmd_parse_build_commands: swap-window -t :-1
1778625935.796902 cmd_parse_build_commands 0:0: swap-window
1778625935.796907 cmd_parse_build_commands 0:1: -t:+1
1778625935.796919 args_parse_flags: next -t:+1
1778625935.796926 args_parse_flag_argument: -t = :+1
1778625935.796943 args_parse: flags end at 2 of 2
1778625935.796952 cmd_parse_build_commands: swap-window -t :+1
1778625935.796960 cmd_parse_build_commands 0:0: swap-window
1778625935.796972 args_parse: flags end at 1 of 1
1778625935.796978 cmd_parse_build_commands: swap-window
1778625935.796985 cmd_parse_build_commands 0:0: kill-window
1778625935.796993 args_parse: flags end at 1 of 1
1778625935.797000 cmd_parse_build_commands: kill-window
1778625935.797007 cmd_parse_build_commands 0:0: respawn-window
1778625935.797012 cmd_parse_build_commands 0:1: -k
1778625935.797022 args_parse_flags: next -k
1778625935.797027 args_parse_flags: -k
1778625935.797033 args_parse: flags end at 2 of 2
1778625935.797041 cmd_parse_build_commands: respawn-window -k
1778625935.797048 cmd_parse_build_commands 0:0: select-pane
1778625935.797054 cmd_parse_build_commands 0:1: -m
1778625935.797064 args_parse_flags: next -m
1778625935.797069 args_parse_flags: -m
1778625935.797075 args_parse: flags end at 2 of 2
1778625935.797082 cmd_parse_build_commands: select-pane -m
1778625935.797098 cmd_parse_build_commands 0:0: command-prompt
1778625935.797104 cmd_parse_build_commands 0:1: -FI
1778625935.797110 cmd_parse_build_commands 0:2: #W
1778625935.797116 cmd_parse_build_commands 0:3 0:0: rename-window
1778625935.797121 cmd_parse_build_commands 0:3 0:1: -t
1778625935.797126 cmd_parse_build_commands 0:3 0:2: #{window_id}
1778625935.797131 cmd_parse_build_commands 0:3 0:3: --
1778625935.797137 cmd_parse_build_commands 0:3 0:4: %%
1778625935.797145 cmd_parse_build_commands 0:0: rename-window
1778625935.797150 cmd_parse_build_commands 0:1: -t
1778625935.797156 cmd_parse_build_commands 0:2: #{window_id}
1778625935.797161 cmd_parse_build_commands 0:3: --
1778625935.797166 cmd_parse_build_commands 0:4: %%
1778625935.797178 args_parse_flags: next -t
1778625935.797184 args_parse_flag_argument: -t = #{window_id}
1778625935.797189 args_parse_flags: next --
1778625935.797194 args_parse: flags end at 4 of 5
1778625935.797199 args_parse: 4 = %% (type STRING)
1778625935.797211 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1778625935.797218 args_parse_flags: next -FI
1778625935.797222 args_parse_flags: -F
1778625935.797228 args_parse_flag_argument: -I = #W
1778625935.797233 args_parse: flags end at 3 of 4
1778625935.797244 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1778625935.797260 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1778625935.797269 cmd_parse_build_commands 0:0: new-window
1778625935.797275 cmd_parse_build_commands 0:1: -a
1778625935.797284 args_parse_flags: next -a
1778625935.797289 args_parse_flags: -a
1778625935.797295 args_parse: flags end at 2 of 2
1778625935.797302 cmd_parse_build_commands: new-window -a
1778625935.797310 cmd_parse_build_commands 0:0: new-window
1778625935.797319 args_parse: flags end at 1 of 1
1778625935.797326 cmd_parse_build_commands: new-window
1778625935.797332 args_parse_flags: next -t=
1778625935.797337 args_parse_flag_argument: -t = =
1778625935.797342 args_parse_flags: next -xW
1778625935.797348 args_parse_flag_argument: -x = W
1778625935.797353 args_parse_flags: next -yW
1778625935.797358 args_parse_flag_argument: -y = W
1778625935.797363 args_parse_flags: next -T
1778625935.797370 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1778625935.797376 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1778625935.797382 args_parse: flags end at 6 of 35
1778625935.797388 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1778625935.797394 args_parse: 7 = l (type STRING)
1778625935.797404 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1778625935.797411 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1778625935.797417 args_parse: 10 = r (type STRING)
1778625935.797427 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1778625935.797434 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1778625935.797440 args_parse: 13 = s (type STRING)
1778625935.797460 args_parse: 14 = swap-window (type COMMANDS)
1778625935.797467 args_parse: 15 =  (type STRING)
1778625935.797473 args_parse: 16 = Kill (type STRING)
1778625935.797479 args_parse: 17 = X (type STRING)
1778625935.797486 args_parse: 18 = kill-window (type COMMANDS)
1778625935.797493 args_parse: 19 = Respawn (type STRING)
1778625935.797499 args_parse: 20 = R (type STRING)
1778625935.797507 args_parse: 21 = respawn-window -k (type COMMANDS)
1778625935.797514 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1778625935.797520 args_parse: 23 = m (type STRING)
1778625935.797528 args_parse: 24 = select-pane -m (type COMMANDS)
1778625935.797535 args_parse: 25 = Rename (type STRING)
1778625935.797541 args_parse: 26 = n (type STRING)
1778625935.797558 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1778625935.797565 args_parse: 28 =  (type STRING)
1778625935.797571 args_parse: 29 = New After (type STRING)
1778625935.797577 args_parse: 30 = w (type STRING)
1778625935.797586 args_parse: 31 = new-window -a (type COMMANDS)
1778625935.797593 args_parse: 32 = New At End (type STRING)
1778625935.797606 args_parse: 33 = W (type STRING)
1778625935.797614 args_parse: 34 = new-window (type COMMANDS)
1778625935.797706 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1778625935.797714 args_parse_flags: next -n
1778625935.797719 args_parse_flags: -n
1778625935.797725 args_parse_flags: next M-MouseDown3Status
1778625935.797730 args_parse: flags end at 2 of 4
1778625935.797736 args_parse: 2 = M-MouseDown3Status (type STRING)
1778625935.797825 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1778625935.797938 cmd_parse_build_commands: bind-key -n M-MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1778625935.797967 cmdq_get_command: [bind-key/0xaaab05244310] group 1090
1778625935.797974 cmdq_append <global>: [bind-key/0xaaab05244310]
1778625935.797982 yylex_token: end at WS
1778625935.797987 yylex_token: bind
1778625935.797992 yylex_token: end at WS
1778625935.797997 yylex_token: -n
1778625935.798003 yylex_token: end at WS
1778625935.798008 yylex_token: MouseDown3Pane
1778625935.798013 yylex_token: end at WS
1778625935.798018 yylex_token: if
1778625935.798023 yylex_token: end at WS
1778625935.798027 yylex_token: -Ft=
1778625935.798040 yylex_token: end at WS
1778625935.798046 yylex_token: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1778625935.798052 yylex_token: end at WS
1778625935.798057 yylex_token: select-pane
1778625935.798062 yylex_token: end at ;
1778625935.798078 yylex_token: -t=
1778625935.798085 yylex_token: end at WS
1778625935.798090 yylex_token: send
1778625935.798095 yylex_token: end at WS
1778625935.798100 yylex_token: -M
1778625935.798106 yylex_token: end at WS
1778625935.798111 yylex_token: display-menu
1778625935.798116 yylex_token: end at WS
1778625935.798121 yylex_token: -t=
1778625935.798126 yylex_token: end at WS
1778625935.798131 yylex_token: -xM
1778625935.798136 yylex_token: end at WS
1778625935.798140 yylex_token: -yM
1778625935.798145 yylex_token: end at WS
1778625935.798150 yylex_token: -T
1778625935.798159 yylex_token: end at WS
1778625935.798164 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1778625935.798174 yylex_token: end at WS
1778625935.798179 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1778625935.798185 yylex_token: end at WS
1778625935.798189 yylex_token: <
1778625935.798195 yylex_token: end at WS
1778625935.798199 yylex_token: send
1778625935.798204 yylex_token: end at WS
1778625935.798209 yylex_token: -X
1778625935.798215 yylex_token: end at }
1778625935.798220 yylex_token: history-top
1778625935.798230 yylex_token: end at WS
1778625935.798236 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1778625935.798241 yylex_token: end at WS
1778625935.798246 yylex_token: >
1778625935.798251 yylex_token: end at WS
1778625935.798256 yylex_token: send
1778625935.798261 yylex_token: end at WS
1778625935.798265 yylex_token: -X
1778625935.798271 yylex_token: end at }
1778625935.798276 yylex_token: history-bottom
1778625935.798282 yylex_token: end at WS
1778625935.798286 yylex_token: 
1778625935.798297 yylex_token: end at WS
1778625935.798303 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1778625935.798308 yylex_token: end at WS
1778625935.798313 yylex_token: C-r
1778625935.798318 yylex_token: end at WS
1778625935.798322 yylex_token: if
1778625935.798328 yylex_token: end at WS
1778625935.798332 yylex_token: -F
1778625935.798341 yylex_token: end at WS
1778625935.798346 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1778625935.798353 yylex_token: end at ;
1778625935.798357 yylex_token: copy-mode -t=
1778625935.798363 yylex_token: end at WS
1778625935.798368 yylex_token: send
1778625935.798373 yylex_token: end at WS
1778625935.798378 yylex_token: -Xt=
1778625935.798384 yylex_token: end at WS
1778625935.798389 yylex_token: search-backward
1778625935.798395 yylex_token: end at WS
1778625935.798399 yylex_token: --
1778625935.798405 yylex_token: end at }
1778625935.798410 yylex_token: #{q:mouse_word}
1778625935.798420 yylex_token: end at WS
1778625935.798426 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1778625935.798431 yylex_token: end at WS
1778625935.798436 yylex_token: C-y
1778625935.798442 yylex_token: end at WS
1778625935.798446 yylex_token: copy-mode
1778625935.798452 yylex_token: end at ;
1778625935.798456 yylex_token: -q
1778625935.798462 yylex_token: end at WS
1778625935.798467 yylex_token: send-keys
1778625935.798472 yylex_token: end at WS
1778625935.798476 yylex_token: -l
1778625935.798482 yylex_token: end at WS
1778625935.798486 yylex_token: --
1778625935.798492 yylex_token: end at }
1778625935.798497 yylex_token: #{q:mouse_word}
1778625935.798507 yylex_token: end at WS
1778625935.798513 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1778625935.798518 yylex_token: end at WS
1778625935.798522 yylex_token: c
1778625935.798528 yylex_token: end at WS
1778625935.798533 yylex_token: copy-mode
1778625935.798538 yylex_token: end at ;
1778625935.798542 yylex_token: -q
1778625935.798549 yylex_token: end at WS
